Name,Description,Priority
vSAN stretched cluster alarm 'Invalid preferred fault domain on witness host',"The following (witness) hosts have invalid preferred fault domains. The preferred fault domain is utilized by the witness host, and it must be the fault domain of either data site in the vSAN stretched cluster. It cannot be empty. If this alarm is triggered, the vSAN stretched cluster has configuration errors that affect its operation. Refer to Ask VMware KB in vSAN health monitor for more details.",
vSAN stretched cluster alarm 'Invalid unicast agent',This alarm is triggered if the cluster contains hosts with invalid unicast agent. An invalid unicast agent on the host can cause a communication malfunction with the witness hosts. Refer to Ask VMware KB in vSAN health monitor for more details.,
vSAN stretched cluster alarm 'No disk claimed on witness host',"The stretched cluster witness host does not have a valid disk group. If the witness host does not have any disk claimed, its fault domain is not available and vSAN cannot provision any objects with Number of Failures To Tolerate set to one (FTT = 1). Refer to Ask VMware KB in vSAN health monitor for more details.",
vSAN stretched cluster alarm 'Preferred fault domain unset',"The preferred fault domain is not set in the cluster for the witness host. The preferred fault domain is utilized by the witness host, and it must be the fault domain of either data site in the vSAN stretched cluster. It cannot be empty. If this alarm is triggered, the vSAN stretched cluster has configuration errors that affect its operation. Refer to Ask VMware KB in vSAN health monitor for more details.",
vSAN stretched cluster alarm 'Shared witness per cluster component limit scaled down',Checks if the per cluster component limit has been scaled down in shared witness node due to lack of memory.,
vSAN stretched cluster alarm 'Unexpected number of data node in shared witness cluster',Checks if the number of data nodes in a shared witness cluster exceeds 2. The number of data hosts of any stretched cluster with shared witness cannot exceed 2.,
vSAN stretched cluster alarm 'Unexpected number of fault domains',"The stretched cluster does not contain two valid fault domains. Each data site must reside in a different fault domain. The total number of fault domains for data sites must be two. If this alarm is triggered, the vSAN stretched cluster has configuration errors that affect its operation. Refer to Ask VMware KB in vSAN health monitor for more details.",
vSAN stretched cluster alarm 'Unicast agent configuration inconsistent',"The stretched cluster contains multiple unicast agents. This means multiple unicast agents were set on non-witness hosts. If this alarm is triggered, the vSAN stretched cluster has configuration errors that affect its operation. Refer to Ask VMware KB in vSAN health monitor for more details.",
vSAN stretched cluster alarm 'Unicast agent not configured',"Hosts must setup unicast agent so that they are able to communicate with the witness node. If this alarm is triggered, the vSAN stretched cluster has configuration errors that affect its operation. Refer to Ask VMware KB in vSAN health monitor for more details.",
vSAN stretched cluster alarm 'Unsupported host version',Cluster contains hosts whose ESXi version does not support stretched cluster.,
vSAN stretched cluster alarm 'Witness appliance upgrade to vSphere 7.0 or higher with caution',"Current witness appliance version is older than vSphere 7.0. There will be problem if you upgrade witness appliance to vSphere 7.0 or higher directly. Refer to the Ask VMware knowledge base article to reconfigure witness appliance and reboot before entering the upgrade workflow. Or you can deploy a new witness appliance of vSphere 7.0 or higher, and reconfigure cluster.",
vSAN stretched cluster alarm 'Witness host fault domain misconfigured',"The following witness node resides in one of the data fault domains. If this alarm is triggered, the vSAN stretched cluster has configuration errors that affect its operation. Refer to Ask VMware KB in vSAN health monitor for more details.",
vSAN stretched cluster alarm 'Witness host not found',"The stretched cluster does not contain a valid witness host. If this alarm is triggered, the vSAN stretched cluster has configuration errors that affect its operation. Refer to Ask VMware KB in vSAN health monitor for more details.",
vSAN stretched cluster alarm 'Witness host within vCenter cluster',"The witness host should not be a part of the vCenter cluster, which forms the stretched cluster. If the witness host resides within a vSAN-enabled cluster, it causes problems with vSphere DRS, HA, and EVC. Refer to Ask VMware KB in vSAN health monitor for more details.",
vSAN Support Insight,Default alarm to monitor the status of vSAN Support Insight,
